registration_id,student_name,date_of_birth,email,address,department,sub1,sub2,sub3,sub4,sub5
8623677,Taylor Roberts,1996-11-30,elizabethvasquez@jennings-hughes.biz,5045 Christina Mill,E&TC,66,12,69,17,40
451475,Patrick Nelson DDS,1997-03-13,sanfordbrenda@livingston.com,1725 Price Locks Suite 336,Petroleum,69,36,20,25,85
1966073,Robert Pitts,1994-10-14,dustin98@cruz-shah.info,22428 Debbie Court Suite 695,Petroleum,92,89,98,65,40
7187028,Amber Graham,1994-12-27,briancarter@gmail.com,15483 Brian Pass,Petroleum,26,61,30,13,24
879314,Dennis Gallegos,1997-11-25,isaacnash@hotmail.com,891 Samantha Way Apt. 444,IT,10,54,22,20,23
7008037,Toni Arellano,1998-03-10,tonya77@robinson.com,00918 Jake Islands,Electrical,68,64,33,45,87
8679736,Susan Le,1996-12-02,tcrawford@gmail.com,0856 Snyder Mountain,Civil,41,26,21,65,75
8510732,Steven Pena,1995-04-30,chanshelley@gmail.com,2560 Johnson Pine,Computers,61,62,71,44,41
3704151,Joshua Coffey,1994-08-06,ylopez@oconnor.com,365 Cameron Crest,IT,24,82,80,49,94
8688565,Monica Martinez,1996-07-15,kwilliams@mitchell.com,193 Ramirez Common Suite 199,IT,32,25,30,28,53
