registration_id,student_name,date_of_birth,email,address,department,sub1,sub2,sub3,sub4,sub5
8696152,Sara Howard,1996-01-17,samanthastewart@gmail.com,509 Michael Port,Petroleum,41,17,60,68,26
8863281,Brandon Howell,1994-10-06,jennifer96@hotmail.com,049 Watson Plaza,Civil,17,29,53,78,45
1272845,Carlos Miller,1995-04-25,doughertymegan@hotmail.com,4686 Murphy Crescent Suite 557,Mechanical,59,94,97,98,11
8194740,Heather Flores,1997-11-03,fletchernancy@butler-thomas.biz,463 Snyder Crossing,IT,93,100,75,75,83
6135655,Rebecca Harris,1996-06-06,melanie20@yahoo.com,538 Shelby Cliff,Computers,81,10,18,59,40
981699,Angela Kelley,1995-04-22,xrhodes@mason-crane.com,9526 Andrea Glens Suite 716,Chemical,14,92,80,67,28
7789111,Michael Brown,1997-01-23,hectorjackson@yahoo.com,1887 Lori Glen Suite 230,Petroleum,28,15,49,97,63
1494792,Jacob Sanders,1995-01-28,ujacobs@hotmail.com,669 Jennifer Rest Suite 543,Chemical,96,18,61,18,90
8302343,Joy Ruiz,1996-04-15,pwilson@yahoo.com,4397 Caldwell Pass,Chemical,78,29,86,33,26
7726713,Christopher Patel,1997-01-26,aharmon@yahoo.com,405 Catherine Estates,Petroleum,40,13,82,88,71
